WinAccu		WinAccuNorm	OccuRecAccu	Error	DriftCorr	NTPAccu
-3117.9		-3117.4		-94.5		234.0	0.0+/-0.00	657.1
-2816.5		-2629.5		209.0		234.0	0.0+/-0.00	44.3*
-3001.0		-3001.5		-162.5		44.0	0.0+/-0.00	462.4
-2817.6		-2817.6		20.0		44.0	0.0+/-0.00	92.2
-2922.1		-2922.1		-85.0		44.0	0.0+/-0.00	243.7
-3236.7		-3236.6		-401.0		44.0	0.0+/-0.00	873.9
-2840.2		-2883.2		-5.0		44.0	0.0+/-98.27	76.3*
-2829.3		-2807.8		48.0		76.0	395.2+/-98.27	52.7*
-2874.8		-2963.8		-19.5		53.0	511.1+/-98.27	138.9*
-2828.4		-2738.4		114.5		139.0	628.4+/-98.27	47.3*
-2855.4		-2907.4		-4.0		47.0	745.2+/-98.27	95.7*
-2831.5		-2779.5		71.5		96.0	864.9+/-98.27	38.8*
-2925.1		-3111.6		-75.0		39.0	984.8+/-71.09	223.6*
-3081.6		-3080.6		-45.5		224.0	-21.8+/-69.41	531.3
-2834.2		-2651.2		200.5		224.0	208.0+/-66.06	35.3*
-3001.2		-3001.2		-150.0		35.0	109.5+/-66.06	366.0
-2977.3		-3261.2		-127.5		35.0	264.7+/-151.73	312.5*
-3026.8		-3125.8		105.5		313.0	-184.8+/-151.73	408.7*
-2873.3		-2569.3		356.5		409.0	-243.6+/-151.73	104.9*
-2855.9		-2819.9		69.5		105.0	-302.0+/-151.73	67.5*
-2850.0		-2827.5		38.5		67.0	-362.8+/-151.73	31.2*
-2923.0		-3069.0		-58.5		31.0	-424.1+/-151.73	173.3*
-2886.1		-2812.6		122.5		173.0	-486.1+/-113.94	97.9*
-2853.7		-2793.2		81.5		98.0	144.9+/-60.60	42.6*
-3009.2		-3008.2		-135.0		43.0	-89.4+/-70.54	350.1
-2987.3		-2987.2		-114.5		43.0	-125.0+/-121.19	301.3
-2905.8		-3007.8		-33.5		43.0	380.3+/-115.79	137.1*
-2908.9		-2909.4		66.5		137.0	153.0+/-98.41	134.4*
-3008.4		-3008.9		-33.5		134.0	-56.3+/-75.82	327.6
-3226.5		-3226.4		-252.5		134.0	-281.3+/-65.82	761.0
-2870.0		-2788.0		103.5		134.0	225.2+/-33.10	44.8*
-3106.6		-3107.5		-215.5		45.0	298.2+/-33.10	513.3
-2956.1		-3125.1		-65.5		45.0	783.0+/-241.78	207.1*
