WinAccu		GpsTimeAccu	OccuRecAccu	Error	DriftCorr	NTPAccu
-41.0		0.0		31.0		61.0	0.0+/-0.00	61.0*
-31.4		5.0		25.0		61.0	0.0+/-0.00	62.2
-19.4		0.0		30.0		52.0	0.0+/-0.00	52.0*
-63.0		0.0		29.0		52.0	0.0+/-0.00	79.0
-88.0		0.0		29.0		52.0	-2.5+/-0.87	81.3
-87.4		5.0		29.0		52.0	-1.9+/-1.22	71.7
-82.4		10.0		24.0		52.0	1.9+/-0.24	101.4
-23.4		0.0		29.0		56.0	0.0+/-0.48	56.5*
-49.8		5.0		24.0		56.0	0.2+/-0.24	89.3
-44.4		5.0		24.0		56.0	-0.8+/-0.48	69.5
-37.0		5.0		23.0		56.0	0.5+/-0.81	60.9
-32.4		0.0		28.0		56.0	2.5+/-0.78	64.4
-48.0		10.0		24.0		61.0	0.0+/-0.98	61.2*
-18.4		5.0		26.0		58.0	0.0+/-0.40	58.2*
-47.0		5.0		25.0		58.0	0.4+/-0.51	64.7
-54.0		0.0		30.0		58.0	-1.9+/-1.18	78.3
-27.4		10.0		21.0		54.0	0.0+/-1.67	53.6*
-60.4		0.0		26.0		54.0	-0.9+/-1.74	85.6
-39.4		5.0		20.0		54.0	3.4+/-2.13	66.8
-47.4		0.0		25.0		54.0	4.3+/-2.34	84.0
-24.4		0.0		33.0		60.0	0.0+/-2.39	60.0*
-36.7		5.0		32.0		60.0	1.1+/-1.45	73.3
-45.0		0.0		27.0		63.0	0.0+/-2.29	63.5*
-27.4		10.0		22.0		57.0	0.0+/-2.16	56.6*
-35.4		0.0		25.0		59.0	0.0+/-3.47	58.6*
-47.4		10.0		19.0		59.0	1.1+/-2.80	65.9
-14.4		5.0		30.0		57.0	0.0+/-2.10	57.1*
-42.4		5.0		29.0		57.0	2.7+/-2.22	74.3
-40.4		5.0		24.0		66.0	0.0+/-4.36	65.9*
-38.4		5.0		30.0		63.0	0.0+/-3.13	63.3*
-25.4		5.0		28.0		60.0	0.0+/-4.73	59.9*
-36.4		0.0		32.0		60.0	2.8+/-2.20	72.1
-50.4		5.0		27.0		60.0	-0.9+/-2.60	79.3
-39.0		5.0		27.0		60.0	-7.5+/-1.19	65.0
-31.4		0.0		36.0		68.0	0.0+/-2.53	67.6*
-45.4		0.0		28.0		69.0	0.0+/-1.53	69.3*
-40.0		0.0		28.0		61.0	0.0+/-3.33	61.3*
-35.4		5.0		21.0		64.0	0.0+/-4.15	63.6*
-44.0		5.0		24.0		65.0	0.0+/-3.53	65.3*
-35.4		0.0		32.0		68.0	0.0+/-3.28	68.0*
-35.0		0.0		26.0		49.0	0.0+/-2.13	49.4*
-40.0		5.0		20.0		49.0	-1.6+/-2.60	61.7
-38.4		5.0		21.0		49.0	1.2+/-4.03	69.7
-30.0		5.0		24.0		51.0	0.0+/-3.59	51.3*
-31.4		5.0		22.0		54.0	0.0+/-3.64	53.9*
-45.0		0.0		26.0		54.0	-1.7+/-2.26	60.9
-40.4		5.0		21.0		54.0	0.6+/-1.70	73.2
-53.0		10.0		21.0		54.0	0.2+/-1.68	64.9
-60.0		5.0		21.0		54.0	5.1+/-1.35	77.3
-33.4		0.0		26.0		54.0	4.5+/-0.89	64.8
-46.0		0.0		26.0		54.0	9.0+/-0.72	65.7
-41.0		5.0		25.0		62.0	0.0+/-0.57	62.4*
